,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,12.045877,28.760744,8.805661682606955e-29,8.173415173795776e-25
1,IGLC2,10.638486,3.5748575,5.0168445989066595e-20,2.3283175783525805e-16
2,LINC02739,9.335249,2.807747,8.376085136174276e-14,1.9436705558492408e-10
3,IGHM,8.601414,2.49106,1.3296788239840901e-12,2.0570131407033873e-09
4,MS4A1,8.562545,27.234205,2.310625554775278e-16,7.14907546647471e-13
5,IGHG1,7.63322,2.6215463,3.718011157641772e-11,2.465041397516495e-08
6,IGHG3,7.2647233,3.213622,1.5355219016823638e-09,7.918174606342057e-07
7,C1QC,7.219723,26.619158,2.585828834076914e-12,3.4288090339859876e-09
8,CD79B,7.0688787,26.500738,6.857665661706511e-12,5.7866229701781675e-09
9,IGLC1,6.445549,2.0789604,1.1052705336649106e-08,4.274633788949042e-06
10,IGHG4,6.2672973,2.0636663,9.737518889089752e-08,2.9156016235010027e-05
11,AL627171.2,6.238267,1.1600691,5.646835927509237e-08,1.7471310359713582e-05
12,AIF1,6.099919,25.944954,2.4757364372931203e-09,1.148989280547737e-06
13,POU2AF1,6.0322933,26.120247,3.6413587064471552e-09,1.6094805482496424e-06
14,LST1,5.903933,25.861753,7.503315744543116e-09,3.0280772496021394e-06
15,TMEM107,5.797625,1.6415777,3.222602524628347e-07,8.797704892235387e-05
16,FMNL1,5.7848883,25.843906,1.4510059156140453e-08,5.387294763491828e-06
17,WDR81,5.7402143,25.861753,1.8533324956804895e-08,6.616397009579348e-06
18,CALHM6,5.625543,25.958654,3.449516380265527e-08,1.1435146800580221e-05
19,IGKC,5.591398,1.7353326,1.2143540678406617e-06,0.00025580647597520724
20,MUC1,5.536969,1.9464729,3.982951376246228e-07,9.991825587653376e-05
21,CXCR4,5.399546,25.869,1.1393985020338013e-07,3.304967779961795e-05
22,KLF2,5.359611,25.688553,1.401480170191237e-07,3.9419814968833524e-05
23,TNFRSF6B,5.180867,2.600628,1.2401736068610564e-06,0.00025580647597520724
24,EDIL3,5.1613092,25.559418,3.846158832165034e-07,9.916679522265512e-05
25,ACVRL1,5.1205664,25.40847,4.714596313281592e-07,0.00011516021836810457
26,TNFRSF13C,5.0701647,25.474424,6.05385241424278e-07,0.0001407299548783111
27,CYBB,5.0698047,25.631464,6.064639296630515e-07,0.0001407299548783111
28,AK1,5.009394,25.349714,8.161937966556524e-07,0.00018477831269653086
29,DOK2,4.9312987,25.251612,1.1930763479851782e-06,0.00025580647597520724
30,SERPINB9,4.8682384,25.324636,1.6152997440020612e-06,0.0003123585879963986
31,BIN2,4.8682384,25.324636,1.6152997440020612e-06,0.0003123585879963986
32,CD300LF,4.8682384,25.324636,1.6152997440020612e-06,0.0003123585879963986
33,TCL1A,4.834416,25.314249,1.8978294665173603e-06,0.00035950312465743135
34,CDK2AP1,4.816638,25.186245,2.0648696671164807e-06,0.00038219550574444827
35,HLA-DOA,4.8130784,25.349714,2.0999753062881773e-06,0.00038219550574444827
36,NIBAN3,4.7541685,25.368881,2.7716906907370317e-06,0.00047901518160126946
37,MUS81,4.7530107,25.262442,2.786772226510294e-06,0.00047901518160126946
38,PDZK1IP1,4.7062855,2.2582202,1.0391119018397559e-05,0.001397831401866176
39,WAS,4.699796,25.117895,3.571978643910776e-06,0.0005816685223294706
40,TRPV2,4.699796,25.117895,3.571978643910776e-06,0.0005816685223294706
41,ISCA1,4.699796,25.117895,3.571978643910776e-06,0.0005816685223294706
42,RUNX1,4.663819,25.158255,4.2191951850294615e-06,0.0006637723679227706
43,HTRA2,4.663819,25.158255,4.2191951850294615e-06,0.0006637723679227706
44,IL4I1,4.5806017,25.046268,6.176681059575735e-06,0.0009279212080269406
45,OTUD4,4.5798388,25.224827,6.19813778255444e-06,0.0009279212080269406
46,IGHG2,4.573714,2.8754025,2.193612850247622e-05,0.0021209494245831694
47,ACP5,4.56372,2.1998346,1.5764651947065408e-05,0.001784481699666599
48,PCED1B-AS1,4.544087,25.088583,7.28803836497997e-06,0.0010249632136930921
49,CIAO3,4.544087,25.088583,7.28803836497997e-06,0.0010249632136930921
50,REG1A,4.5315285,1.2928946,3.358534157108955e-05,0.002940935287385408
51,IL18BP,4.5205526,25.245644,8.103480052675624e-06,0.0011226343559542558
52,RASSF5,4.5157976,25.129732,8.278542506683657e-06,0.0011300210521623193
53,SAMD9,4.4217763,25.015503,1.258457896659408e-05,0.0015574674929056832
54,POLD1,4.4217763,25.015503,1.258457896659408e-05,0.0015574674929056832
55,LAG3,4.4217763,25.015503,1.258457896659408e-05,0.0015574674929056832
56,HVCN1,4.4217763,25.015503,1.258457896659408e-05,0.0015574674929056832
57,CDC123,4.4217763,25.015503,1.258457896659408e-05,0.0015574674929056832
58,PSMC2,4.393451,25.058685,1.4256553370252362e-05,0.0016777006781965517
59,FAM78A,4.393451,25.058685,1.4256553370252362e-05,0.0016777006781965517
60,MMP25,4.393451,25.058685,1.4256553370252548e-05,0.0016777006781965517
61,NFRKB,4.372281,25.100653,1.5642912678510177e-05,0.001784481699666599
62,FCRL1,4.357025,25.141476,1.6720969236508983e-05,0.0018476671006342426
63,RCSD1,4.334355,24.891796,1.845515723616227e-05,0.0019918694123960256
64,PLA2G2D,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
65,THEMIS2,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
66,ORAI2,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
67,DCTPP1,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
68,MRPL32,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
69,GTPBP2,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
70,LEF1,4.2966647,24.938658,2.1724945860624725e-05,0.0021209494245831694
71,SERPING1,4.2787786,2.8169188,3.953967192833276e-05,0.003219361709112146
72,SLC2A6,4.2683325,24.984089,2.4539999599507632e-05,0.002348250270954947
73,NCF1,4.2229896,1.7605907,7.219760879552148e-05,0.004681929111706254
74,CD48,4.2117906,25.015503,3.1232741380197036e-05,0.0028196331460607995
75,TIMM23,4.206832,24.8081,3.189630255724886e-05,0.0028196331460607995
76,TFIP11,4.206832,24.8081,3.189630255724886e-05,0.0028196331460607995
77,LILRB4,4.206832,24.8081,3.189630255724886e-05,0.0028196331460607995
78,TNFRSF4,4.1684985,24.85763,3.749920256203823e-05,0.0030802442316888393
79,VASH1,4.1684985,24.85763,3.749920256203823e-05,0.0030802442316888393
80,WDR73,4.1684985,24.85763,3.749920256203823e-05,0.0030802442316888393
81,MESD,4.1684985,24.85763,3.749920256203823e-05,0.0030802442316888393
82,CISD2,4.140196,24.905561,4.2225131779927665e-05,0.003372351043277259
83,TRPM2,4.1199145,24.951998,4.5954869811701256e-05,0.0035252322445637274
84,ERCC2,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
85,ACSL4,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
86,MAP2K4,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
87,DHX58,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
88,AC103691.1,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
89,KLHDC4,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
90,C1orf159,4.076004,24.719402,5.513263317473665e-05,0.0039064206192969885
91,COMMD5,4.036986,24.771929,6.472734286646111e-05,0.004385395594791913
92,WDFY4,4.036986,24.771929,6.472734286646111e-05,0.004385395594791913
93,BNIP3,4.036986,24.771929,6.472734286646111e-05,0.004385395594791913
94,SLC6A9,4.008761,24.822659,7.263497005879128e-05,0.004681929111706254
95,PGM3,4.008761,24.822659,7.263497005879128e-05,0.004681929111706254
96,FCER2,4.0013227,25.129732,7.486693379392891e-05,0.004759690955309919
97,SPIB,3.9845395,25.081928,8.014422618682973e-05,0.004992608774940629
98,MZB1,3.9700856,2.217036,0.00017504106146599432,0.00800360163806581
99,UBD,3.9489157,2.184826,0.00017482487131169767,0.00800360163806581
100,PPIH,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
101,RAB34,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
102,SCARNA9,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
103,HMCES,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
104,SELPLG,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
105,CREM,3.9415371,24.62506,9.532354754782133e-05,0.0055299573021179846
106,LSM10,3.9017897,24.680973,0.00011174409145906754,0.006210830280976437
107,BANK1,3.9017897,24.680973,0.00011174409145906754,0.006210830280976437
108,CD3D,3.8737054,24.734854,0.00012492410967545657,0.006700341163477085
109,PEF1,3.8737054,24.734854,0.00012492410967545657,0.006700341163477085
110,ZMAT3,3.8737054,24.734854,0.00012492410967545657,0.006700341163477085
111,SLC23A2,3.8737054,24.734854,0.00012492410967545657,0.006700341163477085
112,HLA-DOB,3.8737054,24.734854,0.00012492410967545657,0.006700341163477085
113,LCN2,3.8667462,1.4791626,0.00025612537320297265,0.010159639803717915
114,SLC17A9,3.8547049,24.786844,0.00013466109244267618,0.007061718983349832
115,CD37,3.8483841,2.5934792,0.0002245786834000059,0.009347710041788585
116,SNHG12,3.8031538,1.3771031,0.00034651501956546506,0.012001314968681518
117,UAP1L1,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
118,HSPB11,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
119,KDM1A,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
120,PRKCQ-AS1,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
121,RAI1,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
122,TINF2,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
123,H2AFX,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
124,C7orf50,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
125,SDHAF1,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
126,CHL1,3.8030388,24.52429,0.00016489451267449935,0.007769293739313213
127,SNHG1,3.7815995,1.1197679,0.00044808483087449243,0.01459341543921768
128,QSOX2,3.7625153,24.584066,0.00019298024666970556,0.008409589904170026
129,TMEM120B,3.7625153,24.584066,0.00019298024666970556,0.008409589904170026
130,MSANTD2,3.7625153,24.584066,0.00019298024666970556,0.008409589904170026
131,SMCR8,3.7625153,24.584066,0.00019298024666970646,0.008409589904170026
132,COPS7B,3.7625153,24.584066,0.00019298024666970646,0.008409589904170026
133,IGHA1,3.739461,1.1326468,0.00049886516361209,0.015383609463944915
134,FASTKD2,3.7346532,24.64152,0.00021484574868105372,0.008982874951610544
135,P2RY13,3.7346532,24.64152,0.00021484574868105372,0.008982874951610544
136,CXCR5,3.7346532,24.64152,0.00021484574868105372,0.008982874951610544
137,RASSF2,3.6941235,24.62506,0.0002508550885521697,0.010036366085953615
138,GABPB1-IT1,3.6941235,24.62506,0.0002508550885521697,0.010036366085953615
139,ARID5A,3.6775558,24.680973,0.0002671517414592914,0.010317773084842866
140,ZNF593,3.6775558,24.680973,0.0002671517414592914,0.010317773084842866
141,WRNIP1,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
142,ARL4C,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
143,THOC5,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
144,MPHOSPH9,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
145,ACER3,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
146,CARD9,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
147,BICD2,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
148,IFFO2,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
149,RBM48,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
150,EAF1,3.6600463,24.416142,0.00028545415165808435,0.01039053112035427
151,CXCL9,3.6510274,2.160796,0.0005138369009673702,0.015638618491450432
152,PLEKHF2,3.6186972,24.480362,0.0003334632481618483,0.011592531346210773
153,UTP3,3.6186972,24.480362,0.0003334632481618483,0.011592531346210773
154,ARID3B,3.6186972,24.480362,0.0003334632481618483,0.011592531346210773
155,FXYD5,3.6148179,2.526655,0.0004921687444528188,0.015305379843245563
156,APOBEC3G,3.5911648,24.541904,0.00036953003099513806,0.012610212307709086
157,PFKM,3.5911648,24.541904,0.00036953003099513806,0.012610212307709086
158,RNASE6,3.5911648,24.541904,0.00036953003099513806,0.012610212307709086
159,CARD16,3.554485,2.498629,0.0006081416734127715,0.017249834076243992
160,AFMID,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
161,FCRL2,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
162,ZBTB40,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
163,ZNF623,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
164,ECM1,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
165,ADGRA2,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
166,SCIMP,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
167,TPX2,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
168,CDC20,3.5120046,24.29943,0.0004946793743776847,0.015305379843245563
169,WARS,3.5118573,1.2288064,0.0008127507117145658,0.021240935891643897
170,BMP5,3.4697788,24.368818,0.000576692402246428,0.01667557282757432
171,FYN,3.4697788,24.368818,0.000576692402246428,0.01667557282757432
172,MRTO4,3.4697788,24.368818,0.000576692402246428,0.01667557282757432
173,ASB2,3.4697788,24.368818,0.000576692402246428,0.01667557282757432
174,PBDC1,3.4697788,24.368818,0.000576692402246428,0.01667557282757432
175,SH2B2,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
176,ST8SIA4,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
177,EPB41L4A-AS1,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
178,NCK1,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
179,CCN4,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
180,AC067852.2,3.4697788,24.368818,0.0005766924022464294,0.01667557282757432
181,ATF6,3.4427195,24.435087,0.0006357519846436679,0.017667814136115345
182,FCRLA,3.4427195,24.435087,0.0006357519846436679,0.017667814136115345
183,FAM189B,3.4427195,24.435087,0.0006357519846436679,0.017667814136115345
184,TOMM70,3.4427195,24.435087,0.0006357519846436679,0.017667814136115345
185,TNFAIP8L1,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
186,CCN2,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
187,POU2F2,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
188,FARP1,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
189,CARD11,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
190,RCE1,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
191,PLEKHF1,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
192,ATP6V0E2,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
193,AC008105.3,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
194,RGS19,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
195,MSC,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
196,EXTL3,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
197,SNRNP25,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
198,RANBP10,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
199,ZCCHC7,3.3582404,24.172668,0.0008584850399138642,0.021249221707947966
200,TGIF2,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
201,MCUB,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
202,LINC02593,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
203,EXOSC7,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
204,BATF,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
205,PIGK,3.315087,24.248138,0.0009984826109637134,0.0235849105080869
206,STK36,3.2886934,24.319927,0.001094273055900735,0.025392606262176556
207,IER5,3.232208,24.368818,0.0013286098115888256,0.029593248411090685
208,COL27A1,3.2286468,24.435087,0.0013448393828957848,0.029593248411090685
209,LDB1,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
210,SLC12A4,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
211,STIMATE,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
212,TMEM159,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
213,CD180,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
214,TECPR2,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
215,IL27RA,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
216,GRAP2,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
217,STK26,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
218,HNRNPA1P48,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
219,PAICS,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
220,PLD2,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
221,TOX2,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
222,ESYT1,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
223,MVK,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
224,VNN2,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
225,KCTD5,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
226,AC015871.1,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
227,FGFR1,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
228,FADS3,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
229,NEK8,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
230,ZNF22,3.1979213,24.033932,0.0014926890925286694,0.029825432983454202
231,EBNA1BP2,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
232,RASA3,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
233,ATXN3,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
234,MRPL15,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
235,TMEM185B,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
236,ADAT2,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
237,DDX49,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
238,NUP133,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
239,RASSF3,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
240,IVD,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
241,FBXO41,3.1537948,24.116669,0.0017314427436896575,0.03227158945166145
242,RASAL3,3.1462624,2.319591,0.002312221948631586,0.04005805121817028
243,CCL4L2,3.072461,24.248138,0.002266068058992866,0.03973531735099535
244,VPREB3,3.072461,24.248138,0.002266068058992866,0.03973531735099535
245,BTK,3.072461,24.248138,0.002266068058992866,0.03973531735099535
246,DNASE1L3,3.0496063,2.2819073,0.0030955458849270226,0.04468562504493409
247,BBX,3.0300007,23.880697,0.002601945074551802,0.040658677074056945
